Party,Handicapped-infants,Water-project-cost-sharing,Adoption-of-the-budget-resolution,Physician-fee-freeze,El-salvador-aid,Religious-groups-in-schools,Anti-satellite-test-ban,Aid-to-nicaraguan-contras,MX-missile,Immigration,Synfuels-corporation-cutback,Education-spending,Superfund-right-to-sue,Crime,Duty-free-exports,Export-administration-act-south-africa
DEM,,y,y,n,n,y,?,y,n,n,y,y,n,,n,?
repub,,y,n,y,y,y,n,n,n,y,y,y,y,,n,n
Republican,,y,n,y,y,y,n,n,n,y,y,y,y,,n,y
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
repub,,y,n,y,y,y,n,n,n,y,n,y,y,,n,?
,,,,,,,,,,,,,,,,
Republican,,y,n,y,y,y,n,n,n,n,n,y,y,,n,n
DEM,,y,y,n,n,n,y,y,y,n,n,n,n,,n,?
DEM,,y,y,n,n,n,y,y,y,n,y,n,n,,n,y
,,,,,,,,,,,,,,,,
repub,,y,n,y,y,y,y,n,n,n,n,y,y,,n,y
repub,-999.0,y,n,y,y,y,y,n,n,n,y,y,y,,n,y
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,n
Democrat,,?,y,n,n,n,y,y,y,n,n,n,y,,y,y
demo,,y,y,n,n,n,y,y,y,n,n,n,n,,y,y
DEM,,n,y,n,n,n,y,y,y,n,n,n,y,,y,?
Republican,,y,y,y,n,n,y,y,y,y,y,n,n,,n,y
demo,,y,y,n,n,n,y,y,y,n,y,n,n,,y,?
Republican,-999.0,n,y,y,y,n,y,n,y,y,n,n,y,,n,y
Democrat,,n,y,n,n,y,y,y,y,y,y,n,n,,y,y
Democrat,,y,y,y,y,y,n,n,n,y,y,n,y,,n,n
Democrat,,y,y,n,y,y,n,n,n,y,y,y,y,,n,?
demo,,y,y,y,y,y,n,y,y,y,y,y,y,,n,y
DEM,,y,y,n,y,y,n,n,n,y,y,n,y,,n,y
REP,,n,n,y,y,n,n,n,n,y,n,y,y,,n,n
DEM,,n,y,n,n,y,y,y,y,y,n,y,n,,n,?
Democrat,,n,y,n,n,n,y,y,?,y,y,y,n,,n,y
Republican,,n,n,y,y,y,n,n,n,y,n,y,y,,n,y
Republican,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
Republican,,?,n,y,y,y,n,n,n,y,n,y,y,,n,n
DEM,,n,y,n,y,y,n,n,n,y,y,y,y,,n,y
repub,,n,n,y,y,y,n,n,n,y,n,y,y,,n,n
repub,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
demo,,y,y,n,y,y,y,n,y,y,y,n,y,,n,y
Republican,-999.0,n,n,y,y,y,n,n,n,y,n,?,y,,n,?
Democrat,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
DEM,,n,y,n,n,n,y,y,y,y,y,n,n,,y,y
DEM,,y,y,n,n,n,y,y,n,y,y,n,n,,y,y
demo,,n,y,n,n,n,y,n,y,y,y,n,n,,y,y
Democrat,,n,y,n,y,y,n,n,n,n,n,n,n,,n,y
demo,,n,y,n,y,y,n,?,?,n,y,?,?,,y,y
DEM,,n,?,n,y,y,n,n,n,n,y,y,y,,n,y
,,,,,,,,,,,,,,,,
demo,,y,y,n,n,y,y,y,y,y,n,n,n,,n,y
REP,,n,n,y,y,y,n,n,n,y,?,y,y,,n,n
demo,,n,n,n,y,y,n,n,n,n,y,y,n,,n,y
,,,,,,,,,,,,,,,,
Democrat,,n,y,n,y,y,y,n,?,n,y,n,y,,y,?
demo,,n,n,n,y,y,?,n,?,n,n,n,n,,?,n
demo,,?,?,?,n,y,y,y,y,y,?,n,y,,n,?
demo,,y,y,n,n,n,n,y,y,n,y,n,n,,y,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
Republican,,?,?,?,?,?,?,?,?,?,?,?,?,,?,?
,,,,,,,,,,,,,,,,
Democrat,,?,y,n,n,n,y,y,y,n,n,n,n,,y,?
Democrat,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
REP,,?,n,y,y,y,n,n,n,y,n,y,y,,n,y
DEM,,?,y,n,n,y,y,y,n,y,n,n,n,,y,?
Republican,-999.0,?,n,y,y,y,n,n,n,y,n,y,y,,n,n
Democrat,-999.0,?,y,n,n,n,y,y,y,n,n,n,n,,y,?
demo,,?,y,n,?,?,y,y,y,y,?,?,n,,y,y
,,,,,,,,,,,,,,,,
Republican,,y,y,y,y,n,y,n,n,n,n,y,y,,n,y
DEM,,y,y,n,n,n,n,y,y,y,y,n,n,,y,y
repub,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
repub,,?,?,y,y,y,n,n,n,y,n,y,y,,?,y
REP,,?,n,y,y,y,n,n,n,y,n,y,y,,n,y
REP,,n,n,y,y,y,n,n,n,y,n,y,n,,n,y
repub,,?,n,y,y,y,n,y,n,n,n,y,y,,n,y
DEM,,?,y,n,n,n,y,y,y,n,n,n,n,,y,y
Republican,,?,n,y,y,y,n,n,n,y,n,y,y,,n,y
repub,,?,n,y,y,y,n,n,n,n,n,y,y,,n,n
,,,,,,,,,,,,,,,,
DEM,,?,y,n,n,y,n,y,n,y,y,n,n,,y,y
demo,,?,y,n,n,n,y,y,?,n,?,?,?,,?,?
DEM,,?,y,n,?,?,y,y,y,n,n,n,n,,y,?
Democrat,,n,y,n,n,y,n,y,y,y,n,n,n,,n,y
REP,,n,n,y,y,y,n,n,n,y,n,y,y,,n,?
Republican,,n,n,y,y,y,n,n,n,y,n,y,y,,n,y
Republican,,n,n,y,y,y,n,n,n,n,n,y,y,,n,?
,-999.0,,,,,,,,,,,,,,,
repub,,y,n,y,y,y,n,n,n,y,y,y,y,,n,y
demo,,?,y,n,n,y,y,y,y,y,n,n,n,,y,y
demo,,n,y,n,n,y,y,y,y,y,n,n,n,,n,y
Democrat,,n,y,n,n,y,y,y,y,n,n,n,n,,y,y
repub,,n,n,y,n,n,y,y,y,y,n,n,y,,n,y
REP,,n,n,y,y,y,y,y,y,y,n,y,y,,?,y
repub,,n,n,y,y,y,y,y,y,y,n,y,y,,n,y
Democrat,,y,n,n,n,n,y,y,y,y,y,n,n,,y,y
Democrat,,?,n,n,n,y,y,y,y,y,n,n,n,,n,?
DEM,,n,y,n,n,y,y,y,y,y,n,n,n,,?,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
DEM,,n,n,n,n,n,y,y,y,y,n,y,y,,y,y
,,,,,,,,,,,,,,,,
demo,,n,y,n,n,n,y,y,y,y,n,n,y,,y,y
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
Democrat,,y,?,y,y,y,n,n,y,n,y,?,y,,n,n
demo,-999.0,y,y,n,n,y,n,y,y,y,y,n,y,,y,y
DEM,,n,y,n,n,y,y,y,y,y,y,n,y,,n,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,n
Republican,,y,n,y,y,y,n,?,n,n,y,y,y,,n,n
REP,,y,n,y,y,y,y,n,n,n,n,y,y,,n,n
Democrat,,y,y,n,n,y,n,y,y,n,y,n,?,,?,?
REP,,y,n,y,y,y,n,n,n,y,n,y,y,,n,n
DEM,,y,y,n,?,y,y,y,y,y,y,n,n,,n,?
DEM,,y,n,n,y,y,n,n,n,n,n,y,y,,y,y
Democrat,,n,n,n,y,y,y,n,n,n,n,y,y,,n,y
DEM,,y,y,n,y,y,y,n,n,n,y,y,y,,n,y
repub,,y,n,y,y,y,y,n,n,n,n,y,y,,n,y
demo,,y,n,n,y,y,n,n,n,y,y,y,y,,n,?
,,,,,,,,,,,,,,,,
repub,,n,y,y,y,y,y,y,n,y,n,y,n,,y,y
,,,,,,,,,,,,,,,,
Democrat,,n,y,y,y,y,n,n,y,n,n,n,y,,y,?
DEM,,n,y,n,n,n,y,y,y,y,y,n,n,,n,y
Democrat,,n,y,n,n,n,?,y,y,?,n,n,n,,y,?
repub,,?,n,y,y,y,n,n,n,y,n,y,y,,n,y
,,,,,,,,,,,,,,,,
demo,,n,n,n,y,y,n,n,n,y,y,y,y,,n,y
Democrat,,?,y,n,n,n,y,y,y,n,n,n,n,,y,?
demo,-999.0,y,y,n,n,n,y,y,y,y,n,n,n,,y,y
repub,,n,y,y,n,n,y,y,y,y,n,n,n,,y,y
demo,,n,y,n,n,n,y,y,y,y,y,?,n,,y,y
demo,,n,y,n,n,n,y,y,y,y,y,?,n,,y,?
DEM,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
demo,,?,y,n,n,n,y,y,y,?,?,n,n,,?,?
DEM,,n,y,n,n,n,y,y,y,y,y,n,n,,y,y
DEM,-999.0,?,y,n,n,n,y,y,y,n,n,n,n,,y,y
Democrat,,?,?,?,?,?,?,?,y,?,?,?,?,,?,?
demo,,n,y,n,n,n,y,y,y,y,y,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,y,n,?,n,,y,y
Democrat,,y,y,n,n,n,y,y,y,y,y,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
Republican,,?,n,y,y,y,y,y,n,n,n,y,?,,?,?
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
Republican,,?,n,y,y,y,n,n,n,n,n,y,y,,n,?
REP,,y,n,y,y,y,n,?,n,y,n,y,y,,n,?
DEM,,n,n,n,n,y,y,y,y,n,y,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
Democrat,,n,y,n,n,y,y,?,y,y,y,n,n,,y,y
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,?
Democrat,,n,y,n,n,y,y,y,y,n,y,y,n,,y,?
Republican,,?,y,y,y,y,n,n,n,y,n,n,n,,n,y
DEM,,n,y,n,n,n,y,y,y,y,y,n,?,,y,?
demo,,y,n,n,n,n,y,y,?,n,y,n,n,,y,?
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
DEM,,y,y,n,n,n,y,y,y,n,n,n,n,,y,y
demo,,n,y,n,n,y,y,y,y,y,y,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
Republican,,n,y,y,y,y,y,n,n,n,n,y,y,,n,y
DEM,,n,y,n,n,y,y,y,y,y,n,y,n,,n,y
repub,,n,n,y,y,y,n,n,n,y,n,y,n,,n,y
repub,-999.0,?,n,y,y,y,y,n,n,y,n,y,y,,n,y
Democrat,,n,y,n,n,n,y,y,y,n,n,?,n,,y,y
demo,,y,y,n,n,n,y,y,y,y,y,n,n,,n,y
,,,,,,,,,,,,,,,,
repub,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
Democrat,,n,y,n,n,n,y,y,y,n,y,n,n,,y,y
DEM,,y,y,n,n,y,n,y,y,n,y,n,y,,y,y
repub,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
Democrat,,y,y,y,y,y,n,n,n,y,y,y,y,,y,?
Democrat,,y,y,n,y,y,n,n,?,y,n,n,n,,y,?
repub,,y,n,y,y,y,n,n,n,y,n,y,y,,n,n
,,,,,,,,,,,,,,,,
DEM,-999.0,y,y,n,n,n,n,y,y,n,y,n,n,,y,y
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
DEM,,y,y,n,y,y,n,n,n,n,y,n,n,,y,?
DEM,,n,y,n,n,n,y,y,y,n,y,n,n,,y,?
Republican,,n,n,y,y,n,n,n,n,n,n,y,y,,n,y
,,,,,,,,,,,,,,,,
REP,,?,n,y,y,y,n,n,n,n,n,y,y,,n,y
Democrat,,n,y,n,n,y,y,y,y,n,y,n,n,,y,y
demo,,n,y,n,n,n,y,y,y,n,n,n,n,,?,y
REP,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
REP,,y,y,y,y,y,y,n,y,y,n,y,y,,n,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
,,,,,,,,,,,,,,,,
demo,,y,y,n,n,n,y,y,n,n,y,n,n,,y,?
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
DEM,,n,y,n,n,y,y,y,y,y,n,y,n,,y,?
,-999.0,,,,,,,,,,,,,,,
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
demo,,n,y,n,n,y,y,y,n,n,n,y,y,,n,y
demo,,y,y,n,n,n,y,y,?,y,n,n,n,,y,?
Republican,,n,n,y,y,y,y,n,n,y,n,n,n,,y,y
repub,,n,n,y,n,y,y,?,y,n,n,y,y,,n,y
Democrat,,n,y,n,n,n,y,y,y,y,y,n,n,,y,y
REP,,n,n,n,y,y,y,n,n,n,n,?,n,,y,y
,,,,,,,,,,,,,,,,
DEM,,n,y,n,n,n,n,y,y,y,n,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,y,y,n,n,,y,y
DEM,,n,y,n,y,n,y,y,y,n,n,n,n,,?,y
Republican,-998.5151205125294,y,n,y,y,y,?,n,n,n,n,?,y,,n,n
repub,,?,?,?,?,?,?,?,?,?,?,?,?,,?,?
demo,,n,y,n,n,n,y,y,?,n,y,n,n,,y,y
Republican,,y,n,y,y,y,n,n,n,n,n,y,y,,n,n
Republican,,y,n,y,y,y,n,n,n,n,n,y,y,,n,n
DEM,,y,y,n,n,y,y,y,y,n,n,n,n,,y,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
demo,,n,y,n,n,n,y,y,y,y,n,n,n,,n,y
demo,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
Republican,,n,n,y,y,n,n,n,n,n,n,y,n,,n,n
repub,,n,n,y,y,n,n,n,n,n,n,y,n,,?,y
demo,,n,y,n,n,n,y,y,y,n,y,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,n,y
DEM,,n,y,n,n,n,y,y,y,y,n,n,n,,n,y
DEM,,n,y,n,n,?,y,y,y,n,?,?,n,,?,?
,,,,,,,,,,,,,,,,
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
Democrat,,n,y,n,n,n,y,y,y,y,n,n,n,,n,y
repub,,n,n,y,y,y,n,n,n,y,n,y,n,,n,y
Republican,,n,n,n,n,n,y,y,y,y,n,n,n,,n,y
demo,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
,,,,,,,,,,,,,,,,
demo,,y,y,n,n,n,y,y,y,n,n,n,n,,y,y
DEM,,y,y,n,n,y,y,y,y,n,?,n,n,,n,y
Democrat,,n,y,n,n,n,y,y,y,y,n,n,n,,y,?
,,,,,,,,,,,,,,,,
Republican,,n,n,y,y,n,y,n,n,y,n,n,n,,y,y
demo,,n,y,n,y,y,n,n,n,n,?,n,y,,n,n
repub,,n,n,y,y,y,n,n,n,n,n,y,y,,y,n
Republican,,n,y,y,y,y,y,y,n,y,n,n,n,,n,y
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Democrat,,n,y,n,n,n,y,y,y,y,n,n,n,,n,y
REP,,n,y,y,y,y,y,y,n,n,n,n,n,,n,?
repub,,n,n,y,y,y,n,n,n,y,n,?,y,,n,n
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,y
demo,,n,y,n,n,y,y,y,y,y,y,n,n,,?,y
demo,,n,y,n,n,y,y,y,y,y,y,n,n,,y,y
DEM,,n,y,n,n,y,?,y,?,y,y,y,n,,y,?
DEM,,y,y,?,n,y,y,y,y,n,y,n,y,,?,y
Democrat,,y,y,n,y,y,n,y,n,y,y,n,y,,y,y
DEM,,y,y,n,y,y,n,y,n,y,y,n,y,,n,?
Democrat,,n,y,n,?,y,?,y,y,y,n,n,y,,n,y
Democrat,,n,y,n,n,y,y,y,y,y,n,?,n,,n,y
,,,,,,,,,,,,,,,,
DEM,,y,y,n,n,y,y,y,y,y,y,n,y,,y,y
Democrat,,y,y,n,n,y,y,y,n,y,y,n,y,,n,?
REP,,y,n,y,y,y,?,?,n,y,n,y,?,,?,?
repub,,n,y,y,y,y,n,n,n,y,n,y,y,,y,y
Democrat,-999.0,y,y,n,n,y,y,y,y,y,n,n,?,,y,?
DEM,,y,n,n,n,n,y,y,y,y,y,n,n,,y,y
DEM,,y,y,n,n,y,y,y,y,y,n,n,y,,y,y
REP,,n,n,y,y,n,y,y,y,y,n,y,y,,n,y
Democrat,,n,?,n,n,y,y,y,y,n,n,n,n,,y,y
Republican,,n,n,y,y,y,y,n,n,y,n,y,y,,n,y
repub,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
REP,-998.2510898907699,y,n,y,y,y,n,n,n,y,n,y,y,,n,?
REP,,n,n,y,y,y,n,n,n,y,n,y,y,,n,n
repub,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
Democrat,,n,y,n,n,y,y,y,y,n,n,n,n,,n,?
REP,,n,n,y,y,y,n,n,n,y,n,y,y,,n,n
Democrat,,n,n,n,n,y,y,y,y,y,n,n,n,,y,y
repub,,n,n,y,y,y,n,n,n,y,n,y,y,,y,n
DEM,,n,y,n,n,y,y,y,y,y,n,n,y,,n,y
demo,,y,y,n,n,n,y,y,y,y,n,n,n,,y,y
REP,,y,y,y,y,y,n,n,n,y,n,y,y,,n,y
REP,,y,n,y,y,y,y,y,n,n,y,y,y,,y,y
repub,,y,y,y,y,y,y,?,n,n,n,n,?,,y,?
DEM,,n,n,n,n,y,n,y,y,n,y,y,y,,y,n
DEM,,n,n,n,n,n,y,y,y,y,n,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
DEM,,y,y,n,n,y,n,y,y,y,n,n,y,,n,y
Democrat,,y,y,n,n,n,y,y,y,y,n,n,y,,n,y
demo,,y,y,n,?,y,n,?,n,n,y,n,y,,n,?
demo,,y,y,n,y,y,n,y,?,y,n,n,y,,n,?
Republican,,y,n,y,y,y,n,n,n,n,y,y,y,,n,n
Democrat,,y,n,n,y,y,n,n,?,n,n,y,y,,n,y
DEM,,y,n,y,n,n,y,y,y,n,y,n,n,,n,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
Democrat,,y,y,n,n,n,y,y,y,n,y,n,n,,n,y
,,,,,,,,,,,,,,,,
REP,,y,n,y,y,y,n,n,n,y,n,y,y,,n,n
demo,,?,y,n,n,n,y,y,y,n,n,n,n,,y,?
,,,,,,,,,,,,,,,,
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
DEM,,y,y,n,n,y,y,y,?,n,y,y,n,,y,y
Republican,,n,n,y,y,y,n,n,n,y,y,y,y,,n,?
DEM,,n,y,n,n,y,y,y,n,n,y,n,n,,?,y
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
,,,,,,,,,,,,,,,,
Republican,,n,n,y,y,y,n,n,n,n,y,y,y,,n,n
,,,,,,,,,,,,,,,,
Democrat,,?,y,?,n,y,y,y,y,y,y,n,?,,y,y
demo,,y,y,n,y,?,y,n,n,y,y,n,y,,y,y
REP,,n,n,y,y,n,y,n,y,y,n,n,n,,n,y
demo,,n,y,n,n,n,y,y,y,y,y,n,n,,y,y
Republican,,n,n,y,y,y,y,n,n,y,n,y,n,,y,y
,,,,,,,,,,,,,,,,
Republican,,n,n,y,y,y,n,n,n,y,n,y,y,,n,n
Democrat,,n,y,n,n,n,y,y,y,y,n,y,n,,y,?
repub,,y,y,y,y,y,y,y,y,n,n,y,y,,n,y
DEM,,y,n,n,n,y,y,n,y,n,y,n,n,,y,y
repub,,n,y,y,y,y,y,y,y,y,n,y,y,,y,y
demo,,y,n,y,n,y,y,y,y,n,y,n,y,,y,?
repub,,n,y,y,y,y,y,n,n,y,y,y,y,,n,y
DEM,,y,y,n,n,y,y,y,y,y,n,?,n,,y,y
Republican,,n,y,y,n,n,n,y,y,y,n,n,n,,y,y
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
demo,,y,y,n,n,y,y,y,y,y,y,y,y,,n,?
,,,,,,,,,,,,,,,,
demo,,n,y,n,n,y,y,y,y,y,n,n,y,,n,y
demo,,n,y,n,y,y,y,n,y,y,n,n,y,,n,?
Democrat,,y,y,n,n,y,y,y,y,y,y,y,y,,n,y
REP,,y,n,y,y,y,n,n,n,y,y,n,y,,n,n
,,,,,,,,,,,,,,,,
DEM,,y,n,n,y,y,n,n,n,y,y,n,y,,n,n
demo,,n,y,n,n,n,y,y,n,y,y,n,n,,n,?
DEM,,y,y,n,y,y,y,y,n,y,y,n,n,,y,?
DEM,,y,y,n,n,y,y,y,n,y,n,n,n,,y,y
REP,,y,n,y,y,y,n,n,n,n,n,n,y,,n,y
Democrat,,y,y,n,?,y,y,y,n,y,?,?,n,,y,y
,,,,,,,,,,,,,,,,
DEM,,y,y,y,y,y,n,n,n,n,y,y,?,,n,n
Democrat,,y,y,?,y,y,n,y,n,y,?,n,y,,?,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
DEM,,y,n,y,y,y,n,n,n,n,y,y,n,,n,n
DEM,,?,y,n,n,n,y,y,y,n,y,n,n,,y,y
Republican,,y,n,y,y,y,?,?,n,n,?,?,y,,?,?
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,y
Republican,,n,n,y,y,y,n,n,n,n,n,y,y,,n,y
demo,,y,y,n,n,y,?,y,y,n,y,n,y,,y,y
demo,,y,y,n,y,y,y,y,y,y,y,n,y,,n,?
demo,,y,n,y,y,y,n,n,n,n,y,n,y,,n,?
Democrat,,y,y,n,y,y,n,y,y,y,y,n,n,,n,y
demo,,y,y,y,y,y,n,n,n,n,y,y,y,,n,y
Democrat,,y,n,n,y,y,n,n,n,n,y,y,y,,y,n
Democrat,,?,y,n,y,y,n,y,n,n,y,n,n,,n,?
demo,,y,y,n,y,y,n,y,y,n,y,n,n,,n,?
DEM,,y,y,y,y,y,n,n,n,n,n,y,y,,n,?
DEM,,n,y,n,n,n,y,y,y,?,y,n,n,,y,?
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
REP,,y,n,y,y,y,n,n,n,n,y,y,y,,n,y
repub,,?,?,?,n,y,n,y,y,n,n,y,y,,n,?
demo,,y,?,?,?,y,n,n,n,n,y,n,y,,n,y
,,,,,,,,,,,,,,,,
Democrat,,y,y,n,y,y,n,y,n,n,y,n,y,,y,y
DEM,,y,n,n,y,?,n,n,n,n,y,n,y,,n,y
Democrat,,y,y,n,y,y,n,y,n,n,n,n,n,,n,y
REP,,y,n,y,?,y,n,n,n,y,n,y,y,,n,n
Republican,,y,n,y,y,y,n,?,n,n,?,?,?,,n,?
repub,,y,n,y,y,y,n,n,n,y,y,y,y,,n,n
repub,,n,y,y,n,y,y,y,y,y,n,y,n,,n,y
repub,,y,n,y,y,y,n,n,n,y,n,y,?,,n,n
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,y
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,y
DEM,,n,y,n,y,y,n,n,y,y,n,n,y,,n,y
demo,,n,n,y,y,y,n,n,n,n,y,y,y,,n,n
demo,,n,y,n,n,y,y,y,y,n,n,y,?,,y,y
repub,,n,n,y,y,y,n,n,n,n,n,y,y,,n,n
repub,,n,n,y,y,y,n,n,n,n,y,y,y,,n,y
Democrat,,n,y,n,n,y,y,y,y,y,y,n,n,,n,y
repub,,n,n,y,y,y,n,n,n,y,n,y,y,,n,y
Republican,,y,y,y,y,y,y,y,n,y,?,?,?,,n,y
Democrat,-999.0,y,y,n,n,n,y,y,y,n,n,n,n,,n,y
Democrat,,y,y,n,n,y,y,y,?,y,n,n,n,,n,y
Republican,-999.0,y,n,y,y,y,n,n,n,y,n,n,y,,n,y
Democrat,-999.0,y,y,n,n,n,y,y,y,y,y,n,y,,n,y
DEM,,y,y,n,n,n,y,y,n,y,n,n,n,,n,y
,,,,,,,,,,,,,,,,
repub,,y,y,y,y,y,y,y,n,y,n,n,y,,n,y
